id,district,hospital_name,bcg_vaccine,routine_child_vaccine,child_flu_under3,child_flu_over3,adult_flu,covid19,pneumococcal,rotavirus,mpox,enterovirus,address,phone,voice_reservation,longitude,latitude
1,63000010,長庚醫療財團法人台北長庚紀念醫院,1,1,1,1,1,1,1,1,1,1,臺北市松山區敦化北路199號,(02)27135211,0,121.549676,25.055524
2,63000010,臺北市立聯合醫院附設松山門診部,1,1,1,1,1,1,1,1,0,1,臺北市松山區八德路四段694號,(02)27653147,0,121.577306,25.04967
3,63000010,三軍總醫院松山分院附設民眾診療服務處,0,1,1,1,1,1,1,1,1,1,臺北市松山區健康路131號,(02)27642151,0,121.557702,25.05394
4,63000010,基督復臨安息日會醫療財團法人臺安醫院,1,1,1,1,1,1,1,1,0,0,臺北市松山區八德路二段424號,(02)27718151,0,121.547274,25.048054
5,63000010,江崇萍小兒科診所,0,1,1,1,1,1,1,1,0,1,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,0,121.564351,25.052357
6,63000010,車參薇小兒科診所,0,1,1,1,1,1,1,1,0,1,臺北市松山區八德路三段195號１樓,(02)25770101,0,121.556187,25.048163
7,63000010,博仁綜合醫院,0,1,1,1,1,1,1,1,0,0,臺北市松山區光復北路66號,(02)25786677,0,121.560387,25.049959
8,63000010,佑家診所,0,1,1,1,1,1,1,1,0,0,臺北市松山區八德路三段233號,(02)25785658,0,121.557198,25.048255
9,63000010,大家好診所,0,1,1,1,1,1,1,0,0,0,臺北市松山區民生東路四段80巷11弄2號1樓,(02)27138815,0,121.553089,25.056581
10,63000010,閎新耳鼻喉科皮膚科聯合診所,0,1,1,1,1,1,1,0,0,0,臺北市松山區八德路三段20-2號1樓,(02)25779898,0,121.554198,25.046151
11,63000010,劉內兒科診所,0,1,1,1,1,1,1,0,0,0,臺北市松山區民生東路五段148號1樓,(02)27603922,0,121.562189,25.058477
12,63000010,安兒康小兒專科診所,0,1,1,1,1,1,0,1,0,0,臺北市松山區敦化北路118號1樓,(02)77287688,0,121.548568,25.053824
13,63000010,心田民生診所,0,1,1,1,1,1,0,0,0,0,臺北市松山區民生東路五段105號1樓,(02)27653039,0,121.567284,25.058034
14,63000010,弘宇診所,0,0,1,1,1,1,1,0,0,0,臺北市松山區民權東路三段160巷2之6號,(02)27128875,0,121.547732,25.061581
15,63000010,全煜耳鼻喉科診所,0,1,0,1,1,1,0,0,0,0,臺北市松山區復興北路73號2樓,(02)87729068,0,121.545969,25.057031
16,63000010,弘光耳鼻喉科診所,0,0,1,0,1,1,1,0,0,0,臺北市松山區民生東路四段117號,(02)27181177,0,121.553314,25.058242
17,63000010,吳慶南內科診所,0,0,0,1,1,1,1,0,0,0,臺北市松山區民生東路五段138號,(02)27659566,0,121.566461,25.059041
18,63000010,宥全診所,0,0,0,1,1,1,1,0,0,0,臺北市松山區民生東路五段216號1樓,(02)27678225,0,121.565044,25.058849
19,63000010,陳炳堅內科診所,0,0,0,1,1,1,1,0,0,0,臺北市松山區延壽街327號,(02)27637199,0,121.56036,25.056786
20,63000010,駿昂耳鼻喉科診所,0,0,0,1,1,1,1,0,0,0,臺北市松山區八德路二段395號1樓,(02)87728086,0,121.545431,25.048059
21,63000010,畇力診所,0,0,0,1,1,0,1,0,0,0,臺北市松山區富錦街512號1樓,(02)27659022,0,121.564516,25.060914
